,start_location,end_location
200,"(26924.16594284406, 28096.99359715366)","(27197.533931349608, 28129.16232792873)"
201,"(27197.533931349608, 28129.16232792873)","(27599.66465850103, 27427.457242910255)"
202,"(27599.66465850103, 27427.457242910255)","(27875.747700373846, 27489.186073568737)"
203,"(27875.747700373846, 27489.186073568737)","(27902.99069393752, 27452.386810361553)"
204,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
205,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
206,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
207,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
208,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
209,"(26924.16594284406, 28096.99359715366)","(27197.533931349608, 28129.16232792873)"
210,"(27197.533931349608, 28129.16232792873)","(27745.80939369928, 27053.100478235952)"
211,"(27745.80939369928, 27053.100478235952)","(27326.656018822512, 27014.179254893534)"
212,"(27326.656018822512, 27014.179254893534)","(27349.800833460584, 26949.531147415837)"
213,"(27349.800833460584, 26949.531147415837)","(27235.779894303327, 26899.098730066296)"
214,"(27235.779894303327, 26899.098730066296)","(27250.557228624544, 26873.25211985942)"
215,"(27250.557228624544, 26873.25211985942)","(27184.65772042742, 26844.986374395172)"
216,"(27184.65772042742, 26844.986374395172)","(27014.5306560397, 26639.676767705037)"
217,"(27014.5306560397, 26639.676767705037)","(26999.305264216397, 26656.484647173114)"
218,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
219,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
220,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
221,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
222,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
223,"(26924.16594284406, 28096.99359715366)","(27197.533931349608, 28129.16232792873)"
224,"(27197.533931349608, 28129.16232792873)","(27555.51042164353, 27517.733672920294)"
225,"(27555.51042164353, 27517.733672920294)","(27543.770095258413, 27512.510747437802)"
226,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
227,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
228,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
229,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
230,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
231,"(26924.16594284406, 28096.99359715366)","(26941.68482863193, 28054.774900157616)"
232,"(26941.68482863193, 28054.774900157616)","(26967.76443664744, 28016.928148561885)"
233,"(26967.76443664744, 28016.928148561885)","(26981.38428018395, 27967.028722701565)"
234,"(26981.38428018395, 27967.028722701565)","(26579.631128297202, 27753.031234996015)"
235,"(26579.631128297202, 27753.031234996015)","(26510.302919004433, 27702.500510842277)"
236,"(26510.302919004433, 27702.500510842277)","(26657.472672116128, 27497.300685877766)"
237,"(26657.472672116128, 27497.300685877766)","(26696.702022978134, 27293.62512385173)"
238,"(26696.702022978134, 27293.62512385173)","(26823.28993190643, 27136.993633976468)"
239,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
240,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
241,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
242,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
243,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
244,"(26924.16594284406, 28096.99359715366)","(27197.533931349608, 28129.16232792873)"
245,"(27197.533931349608, 28129.16232792873)","(27746.879303696187, 27062.23396649558)"
246,"(27746.879303696187, 27062.23396649558)","(28008.850987031998, 27019.132138833782)"
247,"(28008.850987031998, 27019.132138833782)","(27891.075623488985, 26611.36557180519)"
248,"(27891.075623488985, 26611.36557180519)","(27992.65644795075, 26623.987640021864)"
249,"(27992.65644795075, 26623.987640021864)","(27996.053314070392, 26579.11379179082)"
250,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
251,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
252,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
253,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
254,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
255,"(26924.16594284406, 28096.99359715366)","(27197.533931349608, 28129.16232792873)"
256,"(27197.533931349608, 28129.16232792873)","(27599.66465850103, 27427.457242910255)"
257,"(27599.66465850103, 27427.457242910255)","(28616.18049504733, 27652.421960399224)"
258,"(28616.18049504733, 27652.421960399224)","(28763.080184904247, 27046.488183013716)"
259,"(28763.080184904247, 27046.488183013716)","(29460.25523399323, 26970.48359902532)"
260,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
261,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
262,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
263,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
264,"(26901.08141280667, 28091.46991442822)","(26806.288624367648, 28056.767780172086)"
265,"(26806.288624367648, 28056.767780172086)","(26958.799822935136, 27686.851257230242)"
266,"(26958.799822935136, 27686.851257230242)","(27006.039593327485, 27667.69257428884)"
267,"(27006.039593327485, 27667.69257428884)","(27059.737096961195, 27685.334984218323)"
268,"(27059.737096961195, 27685.334984218323)","(27089.15170452655, 27610.21602148263)"
269,"(27089.15170452655, 27610.21602148263)","(27116.379923529646, 27621.034365419502)"
270,"(26855.456748673518, 28339.396177846676)","(26908.966011955956, 28271.562355282513)"
271,"(26908.966011955956, 28271.562355282513)","(26951.025503846904, 28196.210611835326)"
272,"(26951.025503846904, 28196.210611835326)","(26893.93964189703, 28198.79776032237)"
273,"(26893.93964189703, 28198.79776032237)","(26901.08141280667, 28091.46991442822)"
274,"(26901.08141280667, 28091.46991442822)","(26924.16594284406, 28096.99359715366)"
