,start_location,end_location
1471,"(28980.150609407952, 26447.50603087395)","(29197.113316521398, 26530.151575693657)"
1472,"(29197.113316521398, 26530.151575693657)","(29243.434511630156, 26500.925612273655)"
1473,"(29243.434511630156, 26500.925612273655)","(29292.062526192836, 26499.35652085024)"
1474,"(29292.062526192836, 26499.35652085024)","(29343.04447520108, 26477.344225016568)"
1475,"(29343.04447520108, 26477.344225016568)","(29358.554029296007, 26497.05229935606)"
1476,"(29358.554029296007, 26497.05229935606)","(29465.905308681657, 26298.557780850242)"
1477,"(29465.905308681657, 26298.557780850242)","(29490.426448170852, 26291.885211404442)"
1478,"(29490.426448170852, 26291.885211404442)","(29740.04411894924, 26257.041017184238)"
1479,"(28613.87026495082, 26446.593501832773)","(28610.62140666152, 26501.33390438909)"
1480,"(28610.62140666152, 26501.33390438909)","(28736.773517958383, 26490.63097618983)"
1481,"(28736.773517958383, 26490.63097618983)","(28744.42348761228, 26513.23852588996)"
1482,"(28744.42348761228, 26513.23852588996)","(28980.150609407952, 26447.50603087395)"
1483,"(28980.150609407952, 26447.50603087395)","(29197.113316521398, 26530.151575693657)"
1484,"(29197.113316521398, 26530.151575693657)","(29243.434511630156, 26500.925612273655)"
1485,"(29243.434511630156, 26500.925612273655)","(29292.062526192836, 26499.35652085024)"
1486,"(29292.062526192836, 26499.35652085024)","(29343.04447520108, 26477.344225016568)"
1487,"(29343.04447520108, 26477.344225016568)","(29358.554029296007, 26497.05229935606)"
1488,"(29358.554029296007, 26497.05229935606)","(29465.905308681657, 26298.557780850242)"
1489,"(29465.905308681657, 26298.557780850242)","(29490.426448170852, 26291.885211404442)"
1490,"(29490.426448170852, 26291.885211404442)","(29677.967042093573, 26685.835332774004)"
1491,"(29677.967042093573, 26685.835332774004)","(29805.673092812125, 26881.30973620669)"
1492,"(29805.673092812125, 26881.30973620669)","(29759.965611229534, 26890.553502792987)"
1493,"(28613.87026495082, 26446.593501832773)","(28612.758492163353, 26534.30657142782)"
1494,"(28612.758492163353, 26534.30657142782)","(28532.771206718433, 26572.24850340528)"
1495,"(28532.771206718433, 26572.24850340528)","(28244.3013375031, 26622.819853842346)"
1496,"(28244.3013375031, 26622.819853842346)","(28267.472032249876, 25948.025306597265)"
1497,"(28267.472032249876, 25948.025306597265)","(27535.329633627756, 25699.90667738879)"
1498,"(27535.329633627756, 25699.90667738879)","(27445.606966965468, 25599.113021672034)"
1499,"(27445.606966965468, 25599.113021672034)","(27503.156641973983, 25571.03979020132)"
1500,"(27503.156641973983, 25571.03979020132)","(27612.93649026417, 25478.234567791253)"
1501,"(29366.888828308205, 28270.813552703796)","(29348.444576532114, 28078.55973824658)"
1502,"(29348.444576532114, 28078.55973824658)","(29560.879073368793, 28126.763489002624)"
1503,"(29560.879073368793, 28126.763489002624)","(29645.447399714118, 28132.328873316146)"
1504,"(29645.447399714118, 28132.328873316146)","(29744.88281280524, 28128.86766085538)"
1505,"(29744.88281280524, 28128.86766085538)","(29788.19066323791, 28132.596953381464)"
1506,"(29788.19066323791, 28132.596953381464)","(29789.22331319205, 28214.489367381117)"
1507,"(29789.22331319205, 28214.489367381117)","(29829.618701518833, 28218.042478910036)"
1508,"(29829.618701518833, 28218.042478910036)","(29884.602930445544, 28223.704232335644)"
1509,"(29884.602930445544, 28223.704232335644)","(29883.173633023107, 28203.81820255032)"
1510,"(29883.173633023107, 28203.81820255032)","(30031.757954524364, 28204.50253809974)"
1511,"(30031.757954524364, 28204.50253809974)","(30083.27991178629, 27667.07365225951)"
1512,"(30083.27991178629, 27667.07365225951)","(29963.441204578878, 27195.343115568074)"
1513,"(29963.441204578878, 27195.343115568074)","(29973.065669197706, 27196.720112380717)"
1514,"(28914.246513672057, 27486.82986426432)","(28946.459872082633, 27376.30458816173)"
1515,"(28946.459872082633, 27376.30458816173)","(29414.311096229794, 27358.64731643736)"
1516,"(29414.311096229794, 27358.64731643736)","(29402.448306085018, 27294.661981571262)"
1517,"(29402.448306085018, 27294.661981571262)","(29524.405202959228, 27264.499924659467)"
1518,"(29524.405202959228, 27264.499924659467)","(29553.503057426133, 27342.840555100673)"
1519,"(29553.503057426133, 27342.840555100673)","(29647.675935761334, 27304.362347531394)"
1520,"(29647.675935761334, 27304.362347531394)","(29648.493757877237, 27311.586203619052)"
1521,"(28914.246513672057, 27486.82986426432)","(28923.40911102295, 27451.268052280095)"
1522,"(28923.40911102295, 27451.268052280095)","(28848.02269630594, 27441.490299696423)"
1523,"(28848.02269630594, 27441.490299696423)","(28837.669765799103, 27471.57770097899)"
1524,"(28837.669765799103, 27471.57770097899)","(28711.238179183478, 27460.562518117687)"
1525,"(28711.238179183478, 27460.562518117687)","(28715.62949694539, 27291.704595719086)"
1526,"(28715.62949694539, 27291.704595719086)","(28462.008398272243, 27163.387566147692)"
1527,"(28462.008398272243, 27163.387566147692)","(28307.624032818538, 27078.364767999417)"
1528,"(28307.624032818538, 27078.364767999417)","(28278.410258981545, 26980.39247040116)"
1529,"(28278.410258981545, 26980.39247040116)","(28177.302591428772, 27010.935024403938)"
1530,"(28177.302591428772, 27010.935024403938)","(28267.472032249876, 25948.025306597265)"
1531,"(28267.472032249876, 25948.025306597265)","(27535.329633627756, 25699.90667738879)"
1532,"(27535.329633627756, 25699.90667738879)","(27445.606966965468, 25599.113021672034)"
1533,"(27445.606966965468, 25599.113021672034)","(27503.156641973983, 25571.03979020132)"
1534,"(27503.156641973983, 25571.03979020132)","(27686.234449859243, 25454.877247918368)"
1535,"(28914.246513672057, 27486.82986426432)","(28923.40911102295, 27451.268052280095)"
1536,"(28923.40911102295, 27451.268052280095)","(28848.02269630594, 27441.490299696423)"
1537,"(28848.02269630594, 27441.490299696423)","(28837.669765799103, 27471.57770097899)"
1538,"(28837.669765799103, 27471.57770097899)","(28711.238179183478, 27460.562518117687)"
1539,"(28711.238179183478, 27460.562518117687)","(28715.62949694539, 27291.704595719086)"
1540,"(28715.62949694539, 27291.704595719086)","(28462.008398272243, 27163.387566147692)"
1541,"(28462.008398272243, 27163.387566147692)","(28307.624032818538, 27078.364767999417)"
1542,"(28307.624032818538, 27078.364767999417)","(28278.410258981545, 26980.39247040116)"
1543,"(28278.410258981545, 26980.39247040116)","(28177.302591428772, 27010.935024403938)"
1544,"(28177.302591428772, 27010.935024403938)","(28267.472032249876, 25948.025306597265)"
1545,"(28267.472032249876, 25948.025306597265)","(27535.329633627756, 25699.90667738879)"
1546,"(27535.329633627756, 25699.90667738879)","(27445.606966965468, 25599.113021672034)"
1547,"(27445.606966965468, 25599.113021672034)","(27503.156641973983, 25571.03979020132)"
1548,"(27503.156641973983, 25571.03979020132)","(27612.93649026417, 25478.234567791253)"
1549,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1550,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1551,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1552,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1553,"(28651.727910154295, 26761.63159109754)","(27745.80939369928, 27053.100478235952)"
1554,"(27745.80939369928, 27053.100478235952)","(27168.26110158478, 28176.922254574107)"
1555,"(27168.26110158478, 28176.922254574107)","(27016.52385628593, 28127.494434053282)"
1556,"(27016.52385628593, 28127.494434053282)","(27008.695341219005, 28200.629883443617)"
1557,"(27008.695341219005, 28200.629883443617)","(26949.616874769577, 28298.976830014057)"
1558,"(26949.616874769577, 28298.976830014057)","(26908.966011955956, 28271.562355282513)"
1559,"(26908.966011955956, 28271.562355282513)","(26855.456748673518, 28339.396177846676)"
1560,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1561,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1562,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1563,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1564,"(28651.727910154295, 26761.63159109754)","(27326.656018822512, 27014.179254893534)"
1565,"(27326.656018822512, 27014.179254893534)","(27349.800833460584, 26949.531147415837)"
1566,"(27349.800833460584, 26949.531147415837)","(27235.779894303327, 26899.098730066296)"
1567,"(27235.779894303327, 26899.098730066296)","(27250.557228624544, 26873.25211985942)"
1568,"(27250.557228624544, 26873.25211985942)","(27184.65772042742, 26844.986374395172)"
1569,"(27184.65772042742, 26844.986374395172)","(27014.5306560397, 26639.676767705037)"
1570,"(27014.5306560397, 26639.676767705037)","(26999.305264216397, 26656.484647173114)"
1571,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1572,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1573,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1574,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1575,"(28651.727910154295, 26761.63159109754)","(28403.39589778139, 26858.866606438853)"
1576,"(28403.39589778139, 26858.866606438853)","(28370.475409191364, 26608.95823364469)"
1577,"(28370.475409191364, 26608.95823364469)","(28230.60115248416, 26622.409277233557)"
1578,"(28230.60115248416, 26622.409277233557)","(27992.65644795075, 26623.987640021864)"
1579,"(27992.65644795075, 26623.987640021864)","(27996.053314070392, 26579.11379179082)"
1580,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1581,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1582,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1583,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1584,"(28651.727910154295, 26761.63159109754)","(27326.656018822512, 27014.179254893534)"
1585,"(27326.656018822512, 27014.179254893534)","(27349.800833460584, 26949.531147415837)"
1586,"(27349.800833460584, 26949.531147415837)","(27235.779894303327, 26899.098730066296)"
1587,"(27235.779894303327, 26899.098730066296)","(27250.557228624544, 26873.25211985942)"
1588,"(27250.557228624544, 26873.25211985942)","(27184.65772042742, 26844.986374395172)"
1589,"(27184.65772042742, 26844.986374395172)","(26942.15503591996, 26549.88973346571)"
1590,"(26942.15503591996, 26549.88973346571)","(26863.88715859357, 26603.419186017505)"
1591,"(26863.88715859357, 26603.419186017505)","(26667.253353284177, 26419.59496371096)"
1592,"(26667.253353284177, 26419.59496371096)","(26691.022956501314, 26063.007532366115)"
1593,"(26691.022956501314, 26063.007532366115)","(26841.918650100473, 26068.40843941181)"
1594,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1595,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1596,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1597,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1598,"(28651.727910154295, 26761.63159109754)","(28620.350097187154, 26768.23009543147)"
1599,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1600,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1601,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1602,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1603,"(28651.727910154295, 26761.63159109754)","(28403.39589778139, 26858.866606438853)"
1604,"(28403.39589778139, 26858.866606438853)","(28370.475409191364, 26608.95823364469)"
1605,"(28370.475409191364, 26608.95823364469)","(28244.3013375031, 26622.819853842346)"
1606,"(28244.3013375031, 26622.819853842346)","(28267.472032249876, 25948.025306597265)"
1607,"(28267.472032249876, 25948.025306597265)","(27535.329633627756, 25699.90667738879)"
1608,"(27535.329633627756, 25699.90667738879)","(27445.606966965468, 25599.113021672034)"
1609,"(27445.606966965468, 25599.113021672034)","(27503.156641973983, 25571.03979020132)"
1610,"(27503.156641973983, 25571.03979020132)","(27686.234449859243, 25454.877247918368)"
1611,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1612,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1613,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1614,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1615,"(28651.727910154295, 26761.63159109754)","(28002.534215956723, 27009.874006435246)"
1616,"(28002.534215956723, 27009.874006435246)","(27891.075623488985, 26611.36557180519)"
1617,"(27891.075623488985, 26611.36557180519)","(27494.312521858155, 26433.61772815921)"
1618,"(29460.25523399323, 26970.48359902532)","(29401.04257059857, 26983.90812704494)"
1619,"(29401.04257059857, 26983.90812704494)","(29396.589653128292, 26820.251219912112)"
1620,"(29396.589653128292, 26820.251219912112)","(29423.198916055, 26716.328013682883)"
1621,"(29423.198916055, 26716.328013682883)","(29391.58342210969, 26705.382674376742)"
1622,"(29391.58342210969, 26705.382674376742)","(29428.301545445138, 26626.347703713895)"
1623,"(29428.301545445138, 26626.347703713895)","(29346.771718600125, 26587.793196028244)"
1624,"(29346.771718600125, 26587.793196028244)","(29311.958583173546, 26554.834808427346)"
1625,"(29311.958583173546, 26554.834808427346)","(29277.33529044618, 26558.21649368349)"
1626,"(29277.33529044618, 26558.21649368349)","(29068.09911824658, 26472.095274298306)"
1627,"(29068.09911824658, 26472.095274298306)","(29010.19183230566, 26161.46229197926)"
1628,"(29010.19183230566, 26161.46229197926)","(28876.744822370412, 25610.261719039903)"
1629,"(28876.744822370412, 25610.261719039903)","(28555.70841511668, 25697.061929325602)"
1630,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1631,"(28774.466092771938, 26999.128433316044)","(28708.256511830084, 27286.53687315187)"
1632,"(28708.256511830084, 27286.53687315187)","(28452.356519139925, 27157.97184413331)"
1633,"(28452.356519139925, 27157.97184413331)","(28485.693342796818, 27075.269658570265)"
1634,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1635,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1636,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1637,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1638,"(28651.727910154295, 26761.63159109754)","(28403.39589778139, 26858.866606438853)"
1639,"(28403.39589778139, 26858.866606438853)","(28370.475409191364, 26608.95823364469)"
1640,"(28370.475409191364, 26608.95823364469)","(28244.3013375031, 26622.819853842346)"
1641,"(28244.3013375031, 26622.819853842346)","(28267.472032249876, 25948.025306597265)"
1642,"(28267.472032249876, 25948.025306597265)","(27535.329633627756, 25699.90667738879)"
1643,"(27535.329633627756, 25699.90667738879)","(27445.606966965468, 25599.113021672034)"
1644,"(27445.606966965468, 25599.113021672034)","(27503.156641973983, 25571.03979020132)"
1645,"(27503.156641973983, 25571.03979020132)","(27643.83449578735, 25467.309196611255)"
1646,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1647,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1648,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1649,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1650,"(28651.727910154295, 26761.63159109754)","(28403.39589778139, 26858.866606438853)"
1651,"(28403.39589778139, 26858.866606438853)","(28370.475409191364, 26608.95823364469)"
1652,"(28370.475409191364, 26608.95823364469)","(28244.3013375031, 26622.819853842346)"
1653,"(28244.3013375031, 26622.819853842346)","(28267.472032249876, 25948.025306597265)"
1654,"(28267.472032249876, 25948.025306597265)","(27535.329633627756, 25699.90667738879)"
1655,"(27535.329633627756, 25699.90667738879)","(27445.606966965468, 25599.113021672034)"
1656,"(27445.606966965468, 25599.113021672034)","(27503.156641973983, 25571.03979020132)"
1657,"(27503.156641973983, 25571.03979020132)","(27612.93649026417, 25478.234567791253)"
1658,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1659,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1660,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1661,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1662,"(28651.727910154295, 26761.63159109754)","(27388.544772835143, 27027.62743566939)"
1663,"(27388.544772835143, 27027.62743566939)","(27381.076610604272, 27053.884439486865)"
1664,"(29460.25523399323, 26970.48359902532)","(28774.466092771938, 26999.128433316044)"
1665,"(28774.466092771938, 26999.128433316044)","(28760.347110329574, 26936.88969886492)"
1666,"(28760.347110329574, 26936.88969886492)","(28739.401401379146, 26769.38779210826)"
1667,"(28739.401401379146, 26769.38779210826)","(28651.727910154295, 26761.63159109754)"
1668,"(28651.727910154295, 26761.63159109754)","(28002.534215956723, 27009.874006435246)"
1669,"(28002.534215956723, 27009.874006435246)","(27988.586849170504, 26978.77815027049)"
1670,"(29460.25523399323, 26970.48359902532)","(29401.04257059857, 26983.90812704494)"
1671,"(29401.04257059857, 26983.90812704494)","(29396.589653128292, 26820.251219912112)"
1672,"(29396.589653128292, 26820.251219912112)","(29423.198916055, 26716.328013682883)"
1673,"(29423.198916055, 26716.328013682883)","(29391.58342210969, 26705.382674376742)"
1674,"(29391.58342210969, 26705.382674376742)","(29428.301545445138, 26626.347703713895)"
1675,"(29428.301545445138, 26626.347703713895)","(29346.771718600125, 26587.793196028244)"
1676,"(29346.771718600125, 26587.793196028244)","(29311.958583173546, 26554.834808427346)"
1677,"(29311.958583173546, 26554.834808427346)","(29277.33529044618, 26558.21649368349)"
1678,"(29277.33529044618, 26558.21649368349)","(29068.09911824658, 26472.095274298306)"
1679,"(29068.09911824658, 26472.095274298306)","(29046.362515117915, 26318.686622594396)"
1680,"(27116.379923529646, 27621.034365419502)","(27411.832769853892, 27739.30709511068)"
1681,"(27411.832769853892, 27739.30709511068)","(27168.26110158478, 28176.922254574107)"
1682,"(27168.26110158478, 28176.922254574107)","(27016.52385628593, 28127.494434053282)"
1683,"(27016.52385628593, 28127.494434053282)","(27008.695341219005, 28200.629883443617)"
1684,"(27008.695341219005, 28200.629883443617)","(26949.616874769577, 28298.976830014057)"
1685,"(26949.616874769577, 28298.976830014057)","(26908.966011955956, 28271.562355282513)"
1686,"(26908.966011955956, 28271.562355282513)","(26855.456748673518, 28339.396177846676)"
1687,"(27116.379923529646, 27621.034365419502)","(27089.15170452655, 27610.21602148263)"
1688,"(27089.15170452655, 27610.21602148263)","(27059.737096961195, 27685.334984218323)"
1689,"(27059.737096961195, 27685.334984218323)","(26971.853843931443, 27650.362245927477)"
1690,"(26971.853843931443, 27650.362245927477)","(26719.85992773583, 28195.59270116719)"
1691,"(26719.85992773583, 28195.59270116719)","(26600.003770975192, 28115.257632537774)"
1692,"(26600.003770975192, 28115.257632537774)","(26567.042887009287, 28168.16946047559)"
1693,"(26567.042887009287, 28168.16946047559)","(26593.261180040892, 28186.35075467071)"
1694,"(26593.261180040892, 28186.35075467071)","(26327.866951812568, 28591.740820734092)"
1695,"(26327.866951812568, 28591.740820734092)","(26398.626108413315, 28637.463816144882)"
1696,"(26398.626108413315, 28637.463816144882)","(26340.830589189092, 28777.282474803127)"
1697,"(26340.830589189092, 28777.282474803127)","(26258.766191698916, 28886.97159417093)"
1698,"(26258.766191698916, 28886.97159417093)","(26175.365319795135, 28964.83548468133)"
1699,"(26175.365319795135, 28964.83548468133)","(26082.34120196807, 29136.49632975136)"
1700,"(26082.34120196807, 29136.49632975136)","(26120.378211194766, 29025.68135254286)"
1701,"(29324.37912375451, 24781.554905500874)","(29280.119693869026, 24840.612549582816)"
1702,"(29280.119693869026, 24840.612549582816)","(29237.216295434162, 24850.925640905887)"
1703,"(29237.216295434162, 24850.925640905887)","(28891.802007813385, 25052.73171594183)"
1704,"(28891.802007813385, 25052.73171594183)","(28662.872068372264, 25171.35703080587)"
1705,"(28662.872068372264, 25171.35703080587)","(27919.78046502816, 25300.23920780947)"
1706,"(27919.78046502816, 25300.23920780947)","(27892.765691730514, 25280.717461969907)"
1707,"(27892.765691730514, 25280.717461969907)","(27340.90800597056, 26060.927147301816)"
1708,"(27340.90800597056, 26060.927147301816)","(27206.67304921754, 26297.277077539504)"
1709,"(27206.67304921754, 26297.277077539504)","(27185.968032776378, 26324.262814706162)"
1710,"(29324.37912375451, 24781.554905500874)","(29280.119693869026, 24840.612549582816)"
1711,"(29280.119693869026, 24840.612549582816)","(29237.216295434162, 24850.925640905887)"
1712,"(29237.216295434162, 24850.925640905887)","(28891.802007813385, 25052.73171594183)"
1713,"(28891.802007813385, 25052.73171594183)","(28662.872068372264, 25171.35703080587)"
1714,"(28662.872068372264, 25171.35703080587)","(27919.78046502816, 25300.23920780947)"
1715,"(27919.78046502816, 25300.23920780947)","(27892.765691730514, 25280.717461969907)"
1716,"(27892.765691730514, 25280.717461969907)","(27340.90800597056, 26060.927147301816)"
1717,"(27340.90800597056, 26060.927147301816)","(27206.67304921754, 26297.277077539504)"
1718,"(27206.67304921754, 26297.277077539504)","(27078.285738524864, 26426.725764825736)"
1719,"(27078.285738524864, 26426.725764825736)","(26942.15503591996, 26549.88973346571)"
1720,"(26942.15503591996, 26549.88973346571)","(27184.65772042742, 26844.986374395172)"
1721,"(27184.65772042742, 26844.986374395172)","(27250.557228624544, 26873.25211985942)"
1722,"(27250.557228624544, 26873.25211985942)","(27320.32911002486, 26715.60554236031)"
1723,"(27320.32911002486, 26715.60554236031)","(27306.037195642828, 26709.86121389878)"
1724,"(29324.37912375451, 24781.554905500874)","(29280.119693869026, 24840.612549582816)"
1725,"(29280.119693869026, 24840.612549582816)","(29237.216295434162, 24850.925640905887)"
1726,"(29237.216295434162, 24850.925640905887)","(28891.802007813385, 25052.73171594183)"
1727,"(28891.802007813385, 25052.73171594183)","(28662.872068372264, 25171.35703080587)"
1728,"(28662.872068372264, 25171.35703080587)","(27919.78046502816, 25300.23920780947)"
1729,"(27919.78046502816, 25300.23920780947)","(27892.765691730514, 25280.717461969907)"
1730,"(27892.765691730514, 25280.717461969907)","(27340.90800597056, 26060.927147301816)"
1731,"(27340.90800597056, 26060.927147301816)","(27217.401584414445, 26278.7511935253)"
1732,"(27217.401584414445, 26278.7511935253)","(27349.495936895953, 26494.96622275209)"
1733,"(27349.495936895953, 26494.96622275209)","(27306.661063073203, 26564.640370384062)"
1734,"(26841.918650100473, 26068.40843941181)","(26655.735494567984, 26063.28436688104)"
1735,"(26655.735494567984, 26063.28436688104)","(26245.203971878364, 27138.238820925675)"
1736,"(26245.203971878364, 27138.238820925675)","(26422.442325543132, 27267.351284469623)"
1737,"(26422.442325543132, 27267.351284469623)","(26480.39763395014, 27308.829022611928)"
1738,"(26480.39763395014, 27308.829022611928)","(26408.157659792414, 27410.018185907888)"
1739,"(26841.918650100473, 26068.40843941181)","(26874.03228932085, 26073.528373566485)"
1740,"(26874.03228932085, 26073.528373566485)","(26890.027361357104, 26051.12939856216)"
1741,"(26890.027361357104, 26051.12939856216)","(27217.401584414445, 26278.7511935253)"
1742,"(27217.401584414445, 26278.7511935253)","(27078.285738524864, 26426.725764825736)"
1743,"(27078.285738524864, 26426.725764825736)","(26942.15503591996, 26549.88973346571)"
1744,"(26942.15503591996, 26549.88973346571)","(27184.65772042742, 26844.986374395172)"
1745,"(27184.65772042742, 26844.986374395172)","(27250.557228624544, 26873.25211985942)"
1746,"(27250.557228624544, 26873.25211985942)","(27464.942844940742, 26951.77194808176)"
1747,"(27464.942844940742, 26951.77194808176)","(27452.22130995222, 26984.862090850394)"
1748,"(27452.22130995222, 26984.862090850394)","(27349.800833460584, 26949.531147415837)"
1749,"(27349.800833460584, 26949.531147415837)","(27326.656018822512, 27014.179254893534)"
1750,"(27326.656018822512, 27014.179254893534)","(27746.879303696187, 27062.23396649558)"
1751,"(27746.879303696187, 27062.23396649558)","(27168.26110158478, 28176.922254574107)"
1752,"(27168.26110158478, 28176.922254574107)","(27016.52385628593, 28127.494434053282)"
1753,"(27016.52385628593, 28127.494434053282)","(27008.695341219005, 28200.629883443617)"
1754,"(27008.695341219005, 28200.629883443617)","(26949.616874769577, 28298.976830014057)"
1755,"(26949.616874769577, 28298.976830014057)","(26908.966011955956, 28271.562355282513)"
1756,"(26908.966011955956, 28271.562355282513)","(26855.456748673518, 28339.396177846676)"
1757,"(26841.918650100473, 26068.40843941181)","(26655.735494567984, 26063.28436688104)"
1758,"(26655.735494567984, 26063.28436688104)","(26035.083764562747, 27461.43400901908)"
1759,"(26035.083764562747, 27461.43400901908)","(25824.984577169627, 27313.387866851495)"
1760,"(26841.918650100473, 26068.40843941181)","(26655.735494567984, 26063.28436688104)"
1761,"(26655.735494567984, 26063.28436688104)","(26245.203971878364, 27138.238820925675)"
1762,"(26245.203971878364, 27138.238820925675)","(26290.973273763928, 27170.497923637653)"
1763,"(26290.973273763928, 27170.497923637653)","(26283.038243713134, 27182.629337091377)"
1764,"(26074.26970837312, 27796.85201946911)","(26052.258825640616, 27783.723288855952)"
1765,"(26052.258825640616, 27783.723288855952)","(26256.96068142465, 27494.999429782707)"
1766,"(26256.96068142465, 27494.999429782707)","(26318.778684586534, 27534.993277241912)"
1767,"(26318.778684586534, 27534.993277241912)","(26371.06159919205, 27597.809320837405)"
1768,"(26371.06159919205, 27597.809320837405)","(26510.302919004433, 27702.500510842277)"
1769,"(26510.302919004433, 27702.500510842277)","(26579.631128297202, 27753.031234996015)"
1770,"(26579.631128297202, 27753.031234996015)","(26662.29593289773, 27812.564971685264)"
1771,"(26662.29593289773, 27812.564971685264)","(26724.42593832288, 27692.65273650203)"
1772,"(26724.42593832288, 27692.65273650203)","(26796.31751313903, 27720.58782545841)"
1773,"(26796.31751313903, 27720.58782545841)","(26838.2046534088, 27614.94105748154)"
1774,"(26074.26970837312, 27796.85201946911)","(26052.258825640616, 27783.723288855952)"
1775,"(26052.258825640616, 27783.723288855952)","(26091.46195403082, 27731.512860631017)"
1776,"(26091.46195403082, 27731.512860631017)","(25932.95671889205, 27625.218649492628)"
1777,"(25932.95671889205, 27625.218649492628)","(25903.80281186894, 27694.060806216934)"
1778,"(25903.80281186894, 27694.060806216934)","(25542.00747491927, 29270.95290793429)"
1779,"(25542.00747491927, 29270.95290793429)","(25532.279417804326, 29346.22339606061)"
1780,"(25532.279417804326, 29346.22339606061)","(25789.827211868018, 29613.743078460597)"
1781,"(25789.827211868018, 29613.743078460597)","(25774.15636706495, 29620.724644265923)"
1782,"(27932.529280287243, 27031.552235506155)","(28008.850987031998, 27019.132138833782)"
1783,"(28008.850987031998, 27019.132138833782)","(27875.747700373846, 27489.186073568737)"
1784,"(27875.747700373846, 27489.186073568737)","(27599.66465850103, 27427.457242910255)"
1785,"(27599.66465850103, 27427.457242910255)","(27168.26110158478, 28176.922254574107)"
1786,"(27168.26110158478, 28176.922254574107)","(27016.52385628593, 28127.494434053282)"
1787,"(27016.52385628593, 28127.494434053282)","(27008.695341219005, 28200.629883443617)"
1788,"(27008.695341219005, 28200.629883443617)","(26949.616874769577, 28298.976830014057)"
1789,"(26949.616874769577, 28298.976830014057)","(26908.966011955956, 28271.562355282513)"
1790,"(26908.966011955956, 28271.562355282513)","(26855.456748673518, 28339.396177846676)"
1791,"(27932.529280287243, 27031.552235506155)","(28566.52816187017, 26792.86955886238)"
1792,"(28566.52816187017, 26792.86955886238)","(28632.680310919823, 26799.163337353937)"
1793,"(28632.680310919823, 26799.163337353937)","(28642.340883475146, 26984.394003578782)"
1794,"(28642.340883475146, 26984.394003578782)","(28732.095156679075, 27031.099393793935)"
1795,"(28732.095156679075, 27031.099393793935)","(29460.25523399323, 26970.48359902532)"
