,StartStationID,StartStationName,Start Latitude,Start Longitude,EndStationID,EndStationName,End Latitude,End Longitude,distance,duration
421,213.0,"Wellington Arch, Hyde Park",51.50274025,-0.149569201,354.0,"Northumberland Avenue, Strand",51.506767,-0.123702,2097,522
422,213.0,"Wellington Arch, Hyde Park",51.50274025,-0.149569201,541.0,"Green Park Station, Mayfair",51.506613,-0.142844,699,178
423,213.0,"Wellington Arch, Hyde Park",51.50274025,-0.149569201,762.0,"Storey's Gate, Westminster",51.50070305,-0.129698963,1649,425
424,214.0,"Endsleigh Gardens, Euston",51.52683806,-0.130504336,17.0,"Hatton Wall, Holborn",51.5216612,-0.109006325,2245,575
425,214.0,"Endsleigh Gardens, Euston",51.52683806,-0.130504336,71.0,"Newgate Street , St. Paul's",51.5154186,-0.098850915,3236,863
426,215.0,"Moorfields, Moorgate",51.51906932,-0.088285377,66.0,"Holborn Circus, Holborn",51.51795029,-0.108657431,2720,660
427,215.0,"Moorfields, Moorgate",51.51906932,-0.088285377,154.0,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,3773,909
428,215.0,"Moorfields, Moorgate",51.51906932,-0.088285377,203.0,"West Smithfield Rotunda, Farringdon",51.51821864,-0.100791005,1219,273
429,215.0,"Moorfields, Moorgate",51.51906932,-0.088285377,273.0,"Belvedere Road, South Bank",51.50613324,-0.114686385,3328,826
430,215.0,"Moorfields, Moorgate",51.51906932,-0.088285377,732.0,"Duke Street Hill, London Bridge",51.50630441,-0.087262995,1880,509
431,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,9.0,"New Globe Walk, Bankside",51.5073853,-0.096440751,1826,569
432,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,48.0,"Godliman Street, St. Paul's",51.51248445,-0.099141408,1423,366
433,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,71.0,"Newgate Street , St. Paul's",51.5154186,-0.098850915,1376,337
434,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,108.0,"Abbey Orchard Street, Westminster",51.49812559,-0.132102166,4627,1104
435,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,126.0,"Museum of London, Barbican",51.51782144,-0.096496865,1132,241
436,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,154.0,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,3326,789
437,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,193.0,"Bankside Mix, Bankside",51.50581776,-0.100186337,2096,610
438,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,194.0,"Hop Exchange, The Borough",51.50462759,-0.091773776,1911,478
439,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,203.0,"West Smithfield Rotunda, Farringdon",51.51821864,-0.100791005,1735,331
440,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,229.0,"Whitehall Place, Strand",51.50654321,-0.123179697,3328,891
441,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,278.0,"Tooley Street, Bermondsey",51.5034938,-0.07962099,2146,457
442,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,374.0,"Waterloo Station 1, Waterloo",51.50402794,-0.11386436,3250,774
443,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,393.0,"Snow Hill, Farringdon",51.51733427,-0.103604248,1889,353
444,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,645.0,"Great Suffolk Street, The Borough",51.50173215,-0.100292412,2455,667
445,217.0,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,732.0,"Duke Street Hill, London Bridge",51.50630441,-0.087262995,1711,390
446,219.0,"Bramham Gardens, Earl's Court",51.49016361,-0.19039362,219.0,"Bramham Gardens, Earl's Court",51.49016361,-0.19039362,0,0
447,219.0,"Bramham Gardens, Earl's Court",51.49016361,-0.19039362,405.0,"Gloucester Road Station, South Kensington",51.49418566,-0.18267094,897,174
448,221.0,"Horseferry Road, Westminster",51.49481649,-0.13045856,190.0,"Rampayne Street, Pimlico",51.48997562,-0.132845681,795,167
449,222.0,"Knightsbridge, Hyde Park",51.50275704,-0.155349725,191.0,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,318,58
450,222.0,"Knightsbridge, Hyde Park",51.50275704,-0.155349725,303.0,"Albert Gate, Hyde Park",51.50295379,-0.158456089,659,132
451,223.0,"Rodney Road , Walworth",51.49148474,-0.090220911,703.0,"St. Bride Street, Holborn",51.51505991,-0.10534448,3405,1061
452,225.0,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,29.0,"Hereford Road, Bayswater",51.513735,-0.193487,708,113
453,225.0,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,379.0,"Turquoise Island, Notting Hill",51.51431171,-0.200838199,772,182
454,225.0,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,442.0,"Walmer Road, Avondale",51.510101,-0.211358,1508,375
455,225.0,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,643.0,"All Saints' Road, Portobello",51.5190427,-0.204764421,1597,353
456,225.0,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,661.0,"All Saints Church, Portobello",51.51632095,-0.202608612,959,214
457,225.0,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,758.0,"Westbourne Park Road, Portobello",51.51787005,-0.201005397,1082,283
458,227.0,"Great Percy Street, Clerkenwell",51.52891573,-0.115480888,12.0,"Malet Street, Bloomsbury",51.52168078,-0.130431727,1654,494
459,228.0,"St. James's Square, St. James's",51.50742485,-0.134621209,316.0,"Cardinal Place, Victoria",51.49768448,-0.141943703,1964,551
460,229.0,"Whitehall Place, Strand",51.50654321,-0.123179697,14.0,"Belgrove Street , King's Cross",51.52994371,-0.123616824,4568,1127
